cdp id,hETH coll,hUSDT coll,hUSDC coll,hWBTC coll,WOWO coll,EARLY coll,LSULP coll,xwBTC coll,HUG coll,XRD coll,xUSDT coll,xUSDC coll,xETH coll,hETH loan,hUSDT loan,hUSDC loan,hWBTC loan,WOWO loan,EARLY loan,LSULP loan,xwBTC loan,HUG loan,XRD loan,xUSDT loan,xUSDC loan,xETH loan,hETH coll value,hUSDT coll value,hUSDC coll value,hWBTC coll value,WOWO coll value,EARLY coll value,LSULP coll value,xwBTC coll value,HUG coll value,XRD coll value,xUSDT coll value,xUSDC coll value,xETH coll value,hETH loan value,hUSDT loan value,hUSDC loan value,hWBTC loan value,WOWO loan value,EARLY loan value,LSULP loan value,xwBTC loan value,HUG loan value,XRD loan value,xUSDT loan value,xUSDC loan value,xETH loan value,coll total value,loan total value,net value
#321#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#322#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.375853311878896e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056102592124755365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07328536613761559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056102592124755365,0.0,0.0,0.07328536613761559,-0.056102592124755365,0.017182774012860225
#323#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0026494031421923e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4197729780218193e-09,0.0,0.0,0.0,-3.213606805263751e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008772781217732926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002117204564849971,0.0,0.0,0.0,-3.213606805263751e-07,0.0,0.0008772781217732926,-0.00021204181716552348,0.0006652363046077692
#324#,0.0,0.0,0.0,0.0,0.0,0.0,41099.63741396829,0.0,0.0,0.0,0.0,626.2311200512598,0.0,0.0,0.0,-479.9433023359042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005757070020923619,-0.00026579869346966015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8993070255132,0.0,0.0,0.0,0.0,626.2311200512598,0.0,0.0,0.0,-479.9433023359042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005757070020923619,-0.00026579869346966015,0.0,698.130427076773,-479.9441438415998,218.18628323517322
#325#,0.0,0.0,0.0,0.0,50956.2906791089,0.0,0.0,0.0,0.0,5082.539747647575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0718608678075756,0.0,0.0,0.0,0.0,7.578066763742533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.649927631550108,0.0,9.649927631550108
#326#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001698645219781717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001263806252700285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001263806252700285,0.0,0.0,-0.0001263806252700285,-0.0001263806252700285
#327#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#328#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.83873592552703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7601695552649608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7601695552649608,0.0,0.7601695552649608
#329#,0.1673633979115954,0.0,67.32472272471175,0.00439130814366321,0.0,0.0,0.0,0.0,11376.203921572722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.54042346003774,0.0,67.32472272471175,384.2218973379562,0.0,0.0,0.0,0.0,0.0027630967756668767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.0898066194814,0.0,948.0898066194814
#330#,0.0,0.0,0.0,0.0,0.0,4495005.353788245,505411.2527411092,0.0,77752415.57766666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.902898837241837e-05,0.0,0.0,0.0,0.0,0.0,0.0,211.71785371712042,884.1615430561448,0.0,18.88480992992443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.902898837241837e-05,0.0,1114.7642067031895,-4.902898837241837e-05,1114.7641576742012
